EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, JAN MAYEN (STAID: 189).
Blended and updated with sources: 114682 901001 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
114682,19790410,  101,    1
114682,19790411,  113,    1
114682,19790412,   65,    1
114682,19790413,   58,    1
114682,19790414,   41,    1
114682,19790415,   31,    1
114682,19790416,   45,    1
114682,19790417,   41,    1
114682,19790418,   87,    1
114682,19790419,   55,    1
114682,19790420,   69,    1
114682,19790421,  129,    1
114682,19790422,   55,    1
114682,19790423,   63,    1
114682,19790424,   79,    1
114682,19790425,  104,    1
114682,19790426,   47,    1
114682,19790427,   76,    1
114682,19790428,   56,    1
114682,19790429,  199,    1
114682,19790430,  158,    1
114682,19790501,  189,    1
114682,19790502,  169,    1
114682,19790503,  161,    1
114682,19790504,  151,    1
114682,19790505,  149,    1
114682,19790506,  137,    1
114682,19790507,   84,    1
114682,19790508,   81,    1
114682,19790509,   65,    1
114682,19790510,   33,    1
114682,19790511,   75,    1
114682,19790512,   46,    1
114682,19790513,   51,    1
114682,19790514,   48,    1
114682,19790515,   70,    1
114682,19790516,   91,    1
114682,19790517,   75,    1
114682,19790518,   82,    1
114682,19790519,   48,    1
114682,19790520,   38,    1
114682,19790521,   27,    1
114682,19790522,   74,    1
114682,19790523,   58,    1
114682,19790524,    5,    1
114682,19790525,    7,    1
114682,19790526,   89,    1
114682,19790527,   86,    1
114682,19790528,    9,    1
114682,19790529,   58,    1
114682,19790530,   43,    1
114682,19790531,   28,    1
114682,19790601,   19,    1
114682,19790602,  115,    1
114682,19790603,   10,    1
114682,19790604,    7,    1
114682,19790605,   12,    1
114682,19790606,   22,    1
114682,19790607,   88,    1
114682,19790608,   70,    1
114682,19790609,   21,    1
114682,19790610,   29,    1
114682,19790611,   21,    1
114682,19790612,   82,    1
114682,19790613,   41,    1
114682,19790614,  106,    1
114682,19790615,   36,    1
114682,19790616,   84,    1
114682,19790617,  115,    1
114682,19790618,   53,    1
114682,19790619,   15,    1
114682,19790620,   44,    1
114682,19790621,   28,    1
114682,19790622,   46,    1
114682,19790623,   72,    1
114682,19790624,   15,    1
114682,19790625,    7,    1
114682,19790626,   17,    1
114682,19790627,   20,    1
114682,19790628,   29,    1
114682,19790629,  148,    1
114682,19790630,  119,    1
114682,19790701,   57,    1
114682,19790702,  196,    1
114682,19790703,   57,    1
114682,19790704,   60,    1
114682,19790705,   53,    1
114682,19790706,   38,    1
114682,19790707,   45,    1
114682,19790708,   33,    1
114682,19790709,   52,    1
114682,19790710,   67,    1
114682,19790711,  115,    1
114682,19790712,   10,    1
114682,19790713,   31,    1
114682,19790714,   38,    1
114682,19790715,   29,    1
114682,19790716,   34,    1
114682,19790717,   31,    1
114682,19790718,   28,    1
114682,19790719,   34,    1
114682,19790720,  135,    1
114682,19790721,  103,    1
114682,19790722,   84,    1
114682,19790723,   69,    1
114682,19790724,   19,    1
114682,19790725,   19,    1
114682,19790726,   53,    1
114682,19790727,   58,    1
114682,19790728,   10,    1
114682,19790729,   12,    1
114682,19790730,   62,    1
114682,19790731,   79,    1
114682,19790801,  108,    1
114682,19790802,   79,    1
114682,19790803,   34,    1
114682,19790804,   21,    1
114682,19790805,   16,    1
114682,19790806,   22,    1
114682,19790807,   58,    1
114682,19790808,   74,    1
114682,19790809,    9,    1
114682,19790810,   32,    1
114682,19790811,   69,    1
114682,19790812,   43,    1
114682,19790813,   60,    1
114682,19790814,   29,    1
114682,19790815,   17,    1
114682,19790816,  115,    1
114682,19790817,   48,    1
114682,19790818,   53,    1
114682,19790819,   17,    1
114682,19790820,   27,    1
114682,19790821,   82,    1
114682,19790822,   43,    1
114682,19790823,   29,    1
114682,19790824,   15,    1
114682,19790825,   36,    1
114682,19790826,   14,    1
114682,19790827,   29,    1
114682,19790828,   34,    1
114682,19790829,  101,    1
114682,19790830,   91,    1
114682,19790831,  110,    1
114682,19790901,   75,    1
114682,19790902,   74,    1
114682,19790903,   21,    1
114682,19790904,   82,    1
114682,19790905,   55,    1
114682,19790906,   88,    1
114682,19790907,   36,    1
114682,19790908,   46,    1
114682,19790909,   55,    1
114682,19790910,  113,    1
114682,19790911,  147,    1
114682,19790912,   79,    1
114682,19790913,   99,    1
114682,19790914,  106,    1
114682,19790915,   43,    1
114682,19790916,   50,    1
114682,19790917,  122,    1
114682,19790918,  125,    1
114682,19790919,   67,    1
114682,19790920,   63,    1
114682,19790921,   65,    1
114682,19790922,   67,    1
114682,19790923,   64,    1
114682,19790924,   58,    1
114682,19790925,   51,    1
114682,19790926,   72,    1
114682,19790927,  123,    1
114682,19790928,   93,    1
114682,19790929,   70,    1
114682,19790930,   48,    1
114682,19791001,   60,    1
114682,19791002,   16,    1
114682,19791003,    8,    1
114682,19791004,    0,    0
114682,19791005,    3,    1
114682,19791006,   58,    1
114682,19791007,   48,    1
114682,19791008,   51,    1
114682,19791009,   87,    1
114682,19791010,   71,    1
114682,19791011,   14,    1
114682,19791012,   65,    1
114682,19791013,   64,    1
114682,19791014,   41,    1
114682,19791015,   22,    1
114682,19791016,   72,    1
114682,19791017,   72,    1
114682,19791018,  111,    1
114682,19791019,  115,    1
114682,19791020,   72,    1
114682,19791021,   58,    1
114682,19791022,   33,    1
114682,19791023,  103,    1
114682,19791024,   33,    1
114682,19791025,   69,    1
114682,19791026,  112,    1
114682,19791027,  101,    1
114682,19791028,   65,    1
114682,19791029,   55,    1
114682,19791030,   63,    1
114682,19791031,   96,    1
114682,19791101,   53,    1
114682,19791102,   50,    1
114682,19791103,  113,    1
114682,19791104,   51,    1
114682,19791105,  166,    1
114682,19791106,  168,    1
114682,19791107,  111,    1
114682,19791108,   93,    1
114682,19791109,   33,    1
114682,19791110,  130,    1
114682,19791111,   62,    1
114682,19791112,   62,    1
114682,19791113,   17,    1
114682,19791114,   31,    1
114682,19791115,   29,    1
114682,19791116,   26,    1
114682,19791117,   31,    1
114682,19791118,   51,    1
114682,19791119,   50,    1
114682,19791120,   93,    1
114682,19791121,   82,    1
114682,19791122,   60,    1
114682,19791123,   69,    1
114682,19791124,   86,    1
114682,19791125,   55,    1
114682,19791126,   75,    1
114682,19791127,   75,    1
114682,19791128,  101,    1
114682,19791129,  151,    1
114682,19791130,   24,    1
114682,19791201,   75,    1
114682,19791202,   36,    1
114682,19791203,   77,    1
114682,19791204,   34,    1
114682,19791205,  120,    1
114682,19791206,   86,    1
114682,19791207,   33,    1
114682,19791208,   60,    1
114682,19791209,   70,    1
114682,19791210,   36,    1
114682,19791211,   19,    1
114682,19791212,   62,    1
114682,19791213,   51,    1
114682,19791214,   65,    1
114682,19791215,   36,    1
114682,19791216,   48,    1
114682,19791217,   94,    1
114682,19791218,  111,    1
114682,19791219,   63,    1
114682,19791220,  168,    1
114682,19791221,   94,    1
114682,19791222,   52,    1
114682,19791223,  135,    1
114682,19791224,   93,    1
114682,19791225,   52,    1
114682,19791226,   74,    1
114682,19791227,  108,    1
114682,19791228,  125,    1
114682,19791229,   79,    1
114682,19791230,   81,    1
114682,19791231,   38,    1
901001,19800101,   25,    0
901001,19800102,   30,    0
901001,19800103,   70,    0
901001,19800104,   75,    0
901001,19800105,  100,    0
901001,19800106,   50,    0
901001,19800107,   55,    0
901001,19800108,   50,    0
901001,19800109,   67,    0
901001,19800110,   90,    0
901001,19800111,   87,    0
901001,19800112,   72,    0
901001,19800113,  142,    0
901001,19800114,  145,    0
901001,19800115,   52,    0
901001,19800116,   97,    0
901001,19800117,   95,    0
901001,19800118,   85,    0
901001,19800119,  102,    0
901001,19800120,   72,    0
901001,19800121,  130,    0
901001,19800122,  150,    0
901001,19800123,  120,    0
901001,19800124,   52,    0
901001,19800125,   67,    0
901001,19800126,   52,    0
901001,19800127,   52,    0
901001,19800128,   52,    0
901001,19800129,   60,    0
901001,19800130,   42,    0
901001,19800131,  120,    0
901001,19800201,   95,    0
901001,19800202,  107,    0
901001,19800203,   80,    0
901001,19800204,   25,    0
901001,19800205,   42,    0
901001,19800206,   30,    0
901001,19800207,   27,    0
901001,19800208,   35,    0
901001,19800209,   27,    0
901001,19800210,   40,    0
901001,19800211,   40,    0
901001,19800212,   57,    0
901001,19800213,   85,    0
901001,19800214,   67,    0
901001,19800215,   40,    0
901001,19800216,   85,    0
901001,19800217,   72,    0
901001,19800218,   27,    0
901001,19800219,   40,    0
901001,19800220,  102,    0
901001,19800221,   32,    0
901001,19800222,   60,    0
901001,19800223,  112,    0
901001,19800224,   75,    0
901001,19800225,  107,    0
901001,19800226,  105,    0
901001,19800227,  112,    0
901001,19800228,  120,    0
901001,19800229,   77,    0
901001,19800301,  137,    0
901001,19800302,   90,    0
901001,19800303,   65,    0
901001,19800304,   42,    0
901001,19800305,   75,    0
901001,19800306,   47,    0
901001,19800307,   15,    0
901001,19800308,   47,    0
901001,19800309,   82,    0
901001,19800310,   40,    0
901001,19800311,   92,    0
901001,19800312,   92,    0
901001,19800313,  112,    0
901001,19800314,   72,    0
901001,19800315,  100,    0
901001,19800316,   87,    0
901001,19800317,   57,    0
901001,19800318,   80,    0
901001,19800319,  105,    0
901001,19800320,  155,    0
901001,19800321,  140,    0
901001,19800322,   37,    0
901001,19800323,  100,    0
901001,19800324,   87,    0
901001,19800325,   20,    0
901001,19800326,   85,    0
901001,19800327,   87,    0
901001,19800328,   60,    0
901001,19800329,   55,    0
901001,19800330,   75,    0
901001,19800331,   65,    0
901001,19800401,   87,    0
901001,19800402,   87,    0
901001,19800403,   90,    0
901001,19800404,   77,    0
901001,19800405,   70,    0
901001,19800406,   57,    0
901001,19800407,   85,    0
901001,19800408,   47,    0
901001,19800409,   62,    0
901001,19800410,   92,    0
901001,19800411,   95,    0
901001,19800412,   70,    0
901001,19800413,   80,    0
901001,19800414,   92,    0
901001,19800415,   72,    0
901001,19800416,   85,    0
901001,19800417,   57,    0
901001,19800418,  100,    0
901001,19800419,  162,    0
901001,19800420,   72,    0
901001,19800421,   65,    0
901001,19800422,   95,    0
901001,19800423,   35,    0
901001,19800424,   47,    0
901001,19800425,   57,    0
901001,19800426,  135,    0
901001,19800427,   65,    0
901001,19800428,   97,    0
901001,19800429,   90,    0
901001,19800430,   40,    0
901001,19800501,   62,    0
901001,19800502,   70,    0
901001,19800503,   90,    0
901001,19800504,   70,    0
901001,19800505,   75,    0
901001,19800506,  122,    0
901001,19800507,  130,    0
901001,19800508,   85,    0
901001,19800509,   45,    0
901001,19800510,   32,    0
901001,19800511,   32,    0
901001,19800512,   42,    0
114682,19800513,    0,    0
901001,19800514,   12,    0
901001,19800515,   25,    0
901001,19800516,   10,    0
901001,19800517,   55,    0
901001,19800518,   46,    0
901001,19800519,   17,    0
901001,19800520,   40,    0
901001,19800521,   52,    0
901001,19800522,   22,    0
901001,19800523,   92,    0
901001,19800524,  125,    0
901001,19800525,   37,    0
901001,19800526,  147,    0
901001,19800527,  162,    0
901001,19800528,   80,    0
901001,19800529,   42,    0
901001,19800530,   10,    0
901001,19800531,   22,    0
901001,19800601,    3,    0
901001,19800602,   30,    0
901001,19800603,   30,    0
901001,19800604,   36,    0
901001,19800605,   25,    0
901001,19800606,   22,    0
901001,19800607,   20,    0
901001,19800608,   27,    0
901001,19800609,   42,    0
901001,19800610,   55,    0
901001,19800611,   57,    0
901001,19800612,   52,    0
901001,19800613,   65,    0
901001,19800614,   75,    0
901001,19800615,   35,    0
901001,19800616,   27,    0
901001,19800617,   20,    0
901001,19800618,   17,    0
901001,19800619,   17,    0
901001,19800620,   16,    0
901001,19800621,  133,    0
901001,19800622,  120,    0
901001,19800623,   50,    0
901001,19800624,   30,    0
901001,19800625,   80,    0
901001,19800626,   85,    0
901001,19800627,   65,    0
901001,19800628,   87,    0
901001,19800629,  127,    0
901001,19800630,  105,    0
901001,19800701,   57,    0
901001,19800702,   17,    0
901001,19800703,   22,    0
901001,19800704,    7,    0
901001,19800705,   10,    0
901001,19800706,   20,    0
901001,19800707,   27,    0
901001,19800708,   35,    0
901001,19800709,   20,    0
901001,19800710,   20,    0
901001,19800711,   30,    0
901001,19800712,   55,    0
901001,19800713,   52,    0
901001,19800714,   22,    0
901001,19800715,   22,    0
901001,19800716,   32,    0
901001,19800717,    7,    0
901001,19800718,   72,    0
901001,19800719,   57,    0
901001,19800720,   25,    0
901001,19800721,   35,    0
901001,19800722,   22,    0
901001,19800723,   17,    0
901001,19800724,   15,    0
901001,19800725,   30,    0
901001,19800726,   42,    0
901001,19800727,   90,    0
901001,19800728,   75,    0
901001,19800729,   22,    0
901001,19800730,   12,    0
901001,19800731,   17,    0
901001,19800801,    7,    0
901001,19800802,   15,    0
901001,19800803,   85,    0
901001,19800804,   80,    0
901001,19800805,   25,    0
901001,19800806,   47,    0
901001,19800807,  115,    0
901001,19800808,   42,    0
901001,19800809,   42,    0
901001,19800810,   30,    0
901001,19800811,   10,    0
901001,19800812,   17,    0
901001,19800813,   27,    0
901001,19800814,   32,    0
901001,19800815,   30,    0
901001,19800816,   47,    0
901001,19800817,   15,    0
901001,19800818,   20,    0
901001,19800819,   95,    0
901001,19800820,   80,    0
901001,19800821,  130,    0
901001,19800822,  110,    0
901001,19800823,   87,    0
901001,19800824,   42,    0
901001,19800825,   20,    0
901001,19800826,   26,    0
901001,19800827,   22,    0
901001,19800828,   10,    0
901001,19800829,   17,    0
901001,19800830,   30,    0
901001,19800831,   40,    0
901001,19800901,   52,    0
901001,19800902,   27,    0
901001,19800903,    5,    0
901001,19800904,   12,    0
901001,19800905,   37,    0
901001,19800906,   82,    0
901001,19800907,  120,    0
901001,19800908,  130,    0
901001,19800909,  102,    0
901001,19800910,   70,    0
901001,19800911,   36,    0
901001,19800912,   27,    0
901001,19800913,   72,    0
901001,19800914,   47,    0
901001,19800915,   60,    0
901001,19800916,   30,    0
901001,19800917,   85,    0
901001,19800918,   62,    0
901001,19800919,   40,    0
901001,19800920,   50,    0
901001,19800921,   52,    0
901001,19800922,   30,    0
901001,19800923,   50,    0
901001,19800924,   10,    0
901001,19800925,   30,    0
901001,19800926,   52,    0
901001,19800927,   72,    0
901001,19800928,   45,    0
901001,19800929,   57,    0
901001,19800930,   75,    0
901001,19801001,   90,    0
901001,19801002,   52,    0
901001,19801003,  100,    0
901001,19801004,   32,    0
901001,19801005,   85,    0
901001,19801006,  137,    0
901001,19801007,  137,    0
901001,19801008,  115,    0
901001,19801009,  117,    0
901001,19801010,  117,    0
901001,19801011,   63,    0
901001,19801012,   37,    0
901001,19801013,   17,    0
901001,19801014,   75,    0
901001,19801015,   65,    0
901001,19801016,   55,    0
901001,19801017,   66,    0
901001,19801018,   47,    0
901001,19801019,   55,    0
901001,19801020,   57,    0
901001,19801021,   85,    0
901001,19801022,   15,    0
901001,19801023,   47,    0
901001,19801024,   45,    0
901001,19801025,   40,    0
901001,19801026,   45,    0
901001,19801027,   20,    0
901001,19801028,   15,    0
901001,19801029,   47,    0
901001,19801030,  107,    0
901001,19801031,   55,    0
901001,19801101,   87,    0
901001,19801102,   45,    0
901001,19801103,   40,    0
901001,19801104,   25,    0
901001,19801105,   85,    0
901001,19801106,   57,    0
901001,19801107,  132,    0
901001,19801108,   60,    0
901001,19801109,   42,    0
901001,19801110,  107,    0
901001,19801111,   47,    0
901001,19801112,  120,    0
901001,19801113,  135,    0
901001,19801114,   87,    0
901001,19801115,   97,    0
901001,19801116,  137,    0
901001,19801117,  107,    0
901001,19801118,   62,    0
901001,19801119,   97,    0
901001,19801120,   82,    0
901001,19801121,  142,    0
901001,19801122,  110,    0
901001,19801123,  105,    0
901001,19801124,   62,    0
901001,19801125,   15,    0
901001,19801126,   86,    0
901001,19801127,   75,    0
901001,19801128,   83,    0
901001,19801129,   35,    0
901001,19801130,   30,    0
901001,19801201,  132,    0
901001,19801202,  100,    0
901001,19801203,   32,    0
901001,19801204,  100,    0
901001,19801205,  102,    0
901001,19801206,   35,    0
901001,19801207,   80,    0
901001,19801208,  120,    0
901001,19801209,  162,    0
901001,19801210,   62,    0
901001,19801211,   42,    0
901001,19801212,   70,    0
901001,19801213,   93,    0
901001,19801214,   87,    0
901001,19801215,   77,    0
901001,19801216,   45,    0
901001,19801217,  172,    0
901001,19801218,  202,    0
901001,19801219,  157,    0
901001,19801220,  107,    0
901001,19801221,   65,    0
901001,19801222,  115,    0
901001,19801223,   85,    0
901001,19801224,   65,    0
901001,19801225,   95,    0
901001,19801226,   75,    0
901001,19801227,  107,    0
901001,19801228,  110,    0
901001,19801229,  105,    0
901001,19801230,   95,    0
901001,19801231,   87,    0
901001,19810101,  125,   -9
901001,19810102,  105,   -9
901001,19810103,  137,   -9
901001,19810104,  122,   -9
901001,19810105,   45,   -9
901001,19810106,   60,   -9
901001,19810107,   90,   -9
901001,19810108,  110,   -9
901001,19810109,  122,   -9
901001,19810110,   37,   -9
901001,19810111,  122,   -9
901001,19810112,  125,   -9
901001,19810113,   46,   -9
901001,19810114,  107,   -9
901001,19810115,   87,   -9
901001,19810116,   45,   -9
901001,19810117,   50,   -9
901001,19810118,   77,   -9
901001,19810119,   32,   -9
901001,19810120,   70,   -9
901001,19810121,   45,   -9
901001,19810122,   67,   -9
901001,19810123,  107,   -9
901001,19810124,  127,   -9
901001,19810125,   60,   -9
901001,19810126,   70,   -9
901001,19810127,   47,   -9
901001,19810128,  102,   -9
901001,19810129,   25,   -9
901001,19810130,   55,   -9
901001,19810131,   72,   -9
901001,19810201,   42,    0
901001,19810202,   75,    0
901001,19810203,  110,    0
901001,19810204,   92,    0
901001,19810205,   97,    0
901001,19810206,   95,    0
901001,19810207,  122,    0
901001,19810208,   85,    0
901001,19810209,   43,    0
901001,19810210,   72,    0
901001,19810211,   60,    0
901001,19810212,  102,    0
901001,19810213,   32,    0
901001,19810214,   57,    0
901001,19810215,   50,    0
901001,19810216,   87,    0
901001,19810217,  135,    0
901001,19810218,   85,    0
901001,19810219,   70,    0
901001,19810220,   37,    0
901001,19810221,  100,    0
901001,19810222,   72,    0
901001,19810223,   70,    0
901001,19810224,   37,    0
901001,19810225,   70,    0
901001,19810226,   45,    0
901001,19810227,   35,    0
901001,19810228,   32,    0
901001,19810301,   57,    0
901001,19810302,   85,    0
901001,19810303,   75,    0
901001,19810304,   75,    0
901001,19810305,   82,    0
901001,19810306,   77,    0
901001,19810307,  105,    0
901001,19810308,   65,    0
901001,19810309,   97,    0
901001,19810310,  100,    0
901001,19810311,   52,    0
901001,19810312,   47,    0
901001,19810313,   52,    0
901001,19810314,   35,    0
901001,19810315,   70,    0
901001,19810316,   87,    0
901001,19810317,   93,    0
901001,19810318,  125,    0
901001,19810319,  137,    0
901001,19810320,  137,    0
901001,19810321,  132,    0
901001,19810322,  175,    0
901001,19810323,   72,    0
901001,19810324,   82,    0
901001,19810325,   62,    0
901001,19810326,   27,    0
901001,19810327,   72,    0
901001,19810328,   50,    0
901001,19810329,  107,    0
901001,19810330,   62,    0
901001,19810331,   35,    0
901001,19810401,   70,    0
901001,19810402,   77,    0
901001,19810403,   50,    0
901001,19810404,   65,    0
901001,19810405,   60,    0
901001,19810406,   97,    0
901001,19810407,   37,    0
901001,19810408,   45,    0
901001,19810409,   57,    0
901001,19810410,   95,    0
901001,19810411,   60,    0
901001,19810412,  142,    0
901001,19810413,   77,    0
901001,19810414,   50,    0
901001,19810415,   37,    0
901001,19810416,   42,    0
901001,19810417,  102,    0
901001,19810418,   30,    0
901001,19810419,  180,    0
901001,19810420,   67,    0
901001,19810421,  112,    0
901001,19810422,   82,    0
901001,19810423,   87,    0
901001,19810424,   65,    0
901001,19810425,   70,    0
901001,19810426,   72,    0
901001,19810427,   40,    0
901001,19810428,   57,    0
901001,19810429,  130,    0
901001,19810430,   80,    0
901001,19810501,   45,    0
901001,19810502,   55,    0
901001,19810503,   30,    0
901001,19810504,   87,    0
901001,19810505,   87,    0
901001,19810506,   65,    0
901001,19810507,   77,    0
901001,19810508,   35,    0
901001,19810509,   37,    0
901001,19810510,   80,    0
901001,19810511,   56,    0
901001,19810512,   60,    0
901001,19810513,   60,    0
901001,19810514,   22,    0
901001,19810515,   15,    0
901001,19810516,   15,    0
901001,19810517,   47,    0
901001,19810518,   12,    0
901001,19810519,    7,    0
901001,19810520,    5,    0
901001,19810521,   60,    0
901001,19810522,   25,    0
901001,19810523,   17,    0
901001,19810524,   10,    0
901001,19810525,   20,    0
901001,19810526,   30,    0
901001,19810527,   27,    0
901001,19810528,   30,    0
901001,19810529,   45,    0
901001,19810530,   37,    0
901001,19810531,   45,    0
901001,19810601,   52,    0
901001,19810602,   25,    0
901001,19810603,  110,    0
901001,19810604,   40,    0
901001,19810605,   70,    0
901001,19810606,   55,    0
901001,19810607,   65,    0
901001,19810608,   67,    0
901001,19810609,   40,    0
901001,19810610,   47,    0
901001,19810611,   22,    0
901001,19810612,   70,    0
901001,19810613,   40,    0
901001,19810614,   32,    0
901001,19810615,   65,    0
901001,19810616,   65,    0
901001,19810617,   50,    0
901001,19810618,   62,    0
901001,19810619,   47,    0
901001,19810620,   35,    0
901001,19810621,   25,    0
901001,19810622,   30,    0
901001,19810623,  107,    0
901001,19810624,   70,    0
901001,19810625,   47,    0
901001,19810626,   22,    0
901001,19810627,   37,    0
901001,19810628,   25,    0
901001,19810629,  172,    0
901001,19810630,   50,    0
901001,19810701,   85,    0
901001,19810702,  137,    0
901001,19810703,  127,    0
901001,19810704,   92,    0
901001,19810705,    5,    0
901001,19810706,   22,    0
901001,19810707,   15,    0
901001,19810708,   25,    0
901001,19810709,   45,    0
901001,19810710,   80,    0
901001,19810711,   60,    0
901001,19810712,   22,    0
901001,19810713,   50,    0
901001,19810714,   17,    0
901001,19810715,    7,    0
901001,19810716,   15,    0
901001,19810717,   15,    0
901001,19810718,   45,    0
901001,19810719,   27,    0
901001,19810720,   22,    0
901001,19810721,   30,    0
901001,19810722,   47,    0
901001,19810723,   65,    0
901001,19810724,   17,    0
901001,19810725,   20,    0
901001,19810726,   20,    0
901001,19810727,   27,    0
901001,19810728,   47,    0
901001,19810729,  115,    0
901001,19810730,   25,    0
901001,19810731,   85,    0
901001,19810801,   35,    0
901001,19810802,   22,    0
901001,19810803,   27,    0
901001,19810804,   22,    0
901001,19810805,   37,    0
901001,19810806,   17,    0
901001,19810807,   30,    0
901001,19810808,   50,    0
901001,19810809,   27,    0
901001,19810810,   47,    0
901001,19810811,   62,    0
901001,19810812,   30,    0
901001,19810813,   42,    0
901001,19810814,   35,    0
901001,19810815,   30,    0
901001,19810816,   52,    0
901001,19810817,   17,    0
901001,19810818,  105,    0
901001,19810819,   50,    0
901001,19810820,   30,    0
901001,19810821,   12,    0
901001,19810822,   15,    0
901001,19810823,   17,    0
901001,19810824,   52,    0
901001,19810825,   40,    0
901001,19810826,   47,    0
901001,19810827,   20,    0
901001,19810828,   37,    0
901001,19810829,   20,    0
901001,19810830,   37,    0
901001,19810831,   32,    0
901001,19810901,   55,    0
901001,19810902,   45,    0
901001,19810903,   73,    0
901001,19810904,  102,    0
901001,19810905,   77,    0
901001,19810906,  100,    0
901001,19810907,   87,    0
901001,19810908,   27,    0
901001,19810909,   30,    0
901001,19810910,   15,    0
901001,19810911,   37,    0
114682,19810912,    0,    0
901001,19810913,    3,    0
901001,19810914,   15,    0
901001,19810915,   10,    0
901001,19810916,   40,    0
901001,19810917,   42,    0
901001,19810918,   22,    0
901001,19810919,   60,    0
901001,19810920,  102,    0
901001,19810921,  122,    0
901001,19810922,   70,    0
901001,19810923,   40,    0
901001,19810924,   42,    0
901001,19810925,  102,    0
901001,19810926,   72,    0
901001,19810927,   22,    0
901001,19810928,   32,    0
901001,19810929,   45,    0
901001,19810930,  127,    0
901001,19811001,  195,    0
901001,19811002,  127,    0
901001,19811003,   47,    0
901001,19811004,   87,    0
901001,19811005,  122,    0
901001,19811006,  135,    0
901001,19811007,   90,    0
